time_s,bag_time_s,mission_label,mission_state,frequency_hz,cmd.kind,cmd.label,cmd.max_retries,s1_position_rad,s1_velocity_rps,s1_current_a,s1_voltage_v,s1_mode,s2_position_rad,s2_velocity_rps,s2_current_a,s2_voltage_v,s2_mode
1.0399,1783622740.269612,CALIBRATION,UNKNOWN,,calibration,CALIBRATION,2,-0.0,-0.0,-0.005379999987781048,12.100000381469727,4.0,-0.0,-0.0,0.0,12.0,4.0
1.0559,1783622740.28559,CALIBRATION,UNKNOWN,,calibration,CALIBRATION,2,-0.0,-0.0,-0.002689999993890524,12.100000381469727,4.0,-0.0,-0.0,0.0,12.0,4.0
1.0719,1783622740.301623,CALIBRATION,UNKNOWN,,calibration,CALIBRATION,2,-0.0,-0.0,0.0,12.100000381469727,4.0,-0.0,-0.0,0.0,12.0,4.0
1.088,1783622740.317684,CALIBRATION,UNKNOWN,,calibration,CALIBRATION,2,-0.0,-0.0,-0.002689999993890524,12.100000381469727,4.0,-0.0,-0.0,0.0,12.0,4.0
1.104,1783622740.333723,CALIBRATION,UNKNOWN,,calibration,CALIBRATION,2,-0.0,-0.0,-0.002689999993890524,12.100000381469727,4.0,-0.0,-0.0,0.0,12.0,4.0
1.1199,1783622740.349653,CALIBRATION,UNKNOWN,,calibration,CALIBRATION,2,-0.0,-0.0,-0.002689999993890524,12.100000381469727,4.0,-0.0,-0.0,0.0,12.0,4.0
1.136,1783622740.365733,CALIBRATION,UNKNOWN,,calibration,CALIBRATION,2,-0.0,-0.0,-0.002689999993890524,12.100000381469727,4.0,-0.0,-0.0,0.0,12.0,4.0
1.1521,1783622740.381786,CALIBRATION,UNKNOWN,,calibration,CALIBRATION,2,-0.0,-0.0,0.0,12.100000381469727,4.0,-0.0,-0.0,0.0,12.0,4.0
1.1678,1783622740.397562,CALIBRATION,UNKNOWN,,calibration,CALIBRATION,2,-0.0,-0.0,-0.002689999993890524,12.100000381469727,4.0,-0.0,-0.0,0.0,12.0,4.0
1.184,1783622740.413687,CALIBRATION,UNKNOWN,,calibration,CALIBRATION,2,-0.0,-0.0,-0.002689999993890524,12.100000381469727,4.0,-0.0,-0.0,0.0,12.0,4.0
1.1998,1783622740.429575,CALIBRATION,UNKNOWN,,calibration,CALIBRATION,2,-0.0,-0.0,-0.005379999987781048,12.100000381469727,4.0,0.0015339808305725455,-0.0,0.0,12.0,4.0
1.2158,1783622740.445554,CALIBRATION,UNKNOWN,,calibration,CALIBRATION,2,-0.0015339808305725455,-0.0,-0.002689999993890524,12.100000381469727,4.0,-0.0,-0.0,0.0,12.0,4.0
1.2479,1783622740.477595,CALIBRATION,UNKNOWN,,calibration,CALIBRATION,2,-0.0,-0.0,-0.005379999987781048,12.100000381469727,4.0,-0.0,-0.0,0.0,12.0,4.0
1.2639,1783622740.493604,CALIBRATION,UNKNOWN,,calibration,CALIBRATION,2,-0.0,-0.0,-0.005379999987781048,12.100000381469727,4.0,0.0015339808305725455,-0.0,0.0,12.0,4.0
1.2799,1783622740.509637,CALIBRATION,UNKNOWN,,calibration,CALIBRATION,2,-0.0,-0.0,-0.002689999993890524,12.100000381469727,4.0,0.0015339808305725455,-0.0,0.0,12.0,4.0
1.2959,1783622740.525582,CALIBRATION,UNKNOWN,,calibration,CALIBRATION,2,-0.0,-0.0,-0.002689999993890524,12.100000381469727,4.0,-0.0,-0.0,0.0,12.0,4.0
1.3119,1783622740.541632,CALIBRATION,UNKNOWN,,calibration,CALIBRATION,2,-0.0,-0.0,-0.002689999993890524,12.100000381469727,4.0,0.0015339808305725455,-0.0,0.0,12.0,4.0
1.3278,1783622740.557577,CALIBRATION,UNKNOWN,,calibration,CALIBRATION,2,-0.0,-0.0,-0.002689999993890524,12.100000381469727,4.0,-0.0,-0.0,0.0,12.0,4.0
1.3438,1783622740.573548,CALIBRATION,UNKNOWN,,calibration,CALIBRATION,2,-0.0015339808305725455,-0.0,-0.002689999993890524,12.100000381469727,4.0,-0.0,-0.0,0.0,12.0,4.0
1.3598,1783622740.589555,CALIBRATION,UNKNOWN,,calibration,CALIBRATION,2,-0.0,-0.0,-0.002689999993890524,12.100000381469727,4.0,0.0015339808305725455,-0.0,0.0,12.0,4.0
1.3758,1783622740.605567,CALIBRATION,UNKNOWN,,calibration,CALIBRATION,2,-0.0015339808305725455,-0.0,-0.002689999993890524,12.100000381469727,4.0,-0.0,-0.0,0.0,12.0,4.0
1.3919,1783622740.621651,CALIBRATION,UNKNOWN,,calibration,CALIBRATION,2,-0.0,-0.0,-0.002689999993890524,12.100000381469727,4.0,-0.0,-0.0,0.0,12.0,4.0
1.4078,1783622740.63755,CALIBRATION,UNKNOWN,,calibration,CALIBRATION,2,-0.0,-0.0,-0.002689999993890524,12.100000381469727,4.0,-0.0,-0.0,0.0,12.0,4.0
1.4239,1783622740.653581,CALIBRATION,UNKNOWN,,calibration,CALIBRATION,2,-0.0015339808305725455,-0.0,-0.002689999993890524,12.100000381469727,4.0,-0.0,-0.0,0.0,12.0,4.0
1.4398,1783622740.669553,CALIBRATION,UNKNOWN,,calibration,CALIBRATION,2,-0.0,-0.0,-0.002689999993890524,12.100000381469727,4.0,-0.0,-0.0,0.0,12.0,4.0
1.4558,1783622740.685551,CALIBRATION,UNKNOWN,,calibration,CALIBRATION,2,-0.0,-0.0,-0.002689999993890524,12.100000381469727,4.0,-0.0,-0.0,0.0,12.0,4.0
1.4718,1783622740.70156,CALIBRATION,UNKNOWN,,calibration,CALIBRATION,2,-0.0,-0.0,-0.002689999993890524,12.100000381469727,4.0,0.0015339808305725455,-0.0,-0.002689999993890524,12.0,4.0
1.4878,1783622740.717576,CALIBRATION,UNKNOWN,,calibration,CALIBRATION,2,-0.0,-0.0,-0.002689999993890524,12.100000381469727,4.0,-0.0,-0.0,0.0,12.0,4.0
1.5038,1783622740.73355,CALIBRATION,UNKNOWN,,calibration,CALIBRATION,2,-0.0,-0.0,-0.002689999993890524,12.100000381469727,4.0,-0.0,-0.0,0.0,12.0,4.0
1.5198,1783622740.749569,CALIBRATION,UNKNOWN,,calibration,CALIBRATION,2,-0.0015339808305725455,-0.0,-0.002689999993890524,12.100000381469727,4.0,0.0015339808305725455,-0.0,0.0,12.0,4.0
1.5359,1783622740.765588,CALIBRATION,UNKNOWN,,calibration,CALIBRATION,2,-0.0,-0.0,-0.002689999993890524,12.100000381469727,4.0,-0.0,-0.0,0.0,12.0,4.0
1.552,1783622740.781754,CALIBRATION,UNKNOWN,,calibration,CALIBRATION,2,-0.0,-0.0,-0.002689999993890524,12.100000381469727,4.0,-0.0,-0.0,0.0,12.0,4.0
1.5679,1783622740.797614,CALIBRATION,UNKNOWN,,calibration,CALIBRATION,2,-0.0,-0.0,0.0,12.100000381469727,4.0,0.0015339808305725455,-0.0,-0.002689999993890524,12.0,4.0
1.5839,1783622740.813609,CALIBRATION,UNKNOWN,,calibration,CALIBRATION,2,-0.0015339808305725455,-0.0,-0.002689999993890524,12.100000381469727,4.0,-0.0,-0.0,-0.002689999993890524,12.0,4.0
1.5999,1783622740.829605,CALIBRATION,UNKNOWN,,calibration,CALIBRATION,2,-0.0,-0.0,-0.002689999993890524,12.100000381469727,4.0,-0.0,-0.0,0.0,12.0,4.0
1.6158,1783622740.845577,CALIBRATION,UNKNOWN,,calibration,CALIBRATION,2,-0.0,-0.0,-0.002689999993890524,12.100000381469727,4.0,-0.0,-0.0,0.0,12.0,4.0
1.6319,1783622740.861653,CALIBRATION,UNKNOWN,,calibration,CALIBRATION,2,-0.0015339808305725455,-0.0,-0.002689999993890524,12.100000381469727,4.0,-0.0,-0.0,0.0,12.0,4.0
1.6478,1783622740.87757,CALIBRATION,UNKNOWN,,calibration,CALIBRATION,2,-0.0,-0.0,-0.002689999993890524,12.100000381469727,4.0,-0.0,-0.0,0.0,12.0,4.0
1.6638,1783622740.893577,CALIBRATION,UNKNOWN,,calibration,CALIBRATION,2,-0.0,-0.0,-0.002689999993890524,12.100000381469727,4.0,0.0015339808305725455,-0.0,0.0,12.0,4.0
1.6798,1783622740.909559,CALIBRATION,UNKNOWN,,calibration,CALIBRATION,2,-0.0015339808305725455,-0.0,-0.002689999993890524,12.100000381469727,4.0,-0.0,-0.0,0.0,12.0,4.0
1.6958,1783622740.925569,CALIBRATION,UNKNOWN,,calibration,CALIBRATION,2,-0.0,-0.0,-0.002689999993890524,12.100000381469727,4.0,-0.0,-0.0,0.0,12.0,4.0
1.7118,1783622740.941564,CALIBRATION,UNKNOWN,,calibration,CALIBRATION,2,-0.0,-0.0,0.0,12.100000381469727,4.0,-0.0,-0.0,0.0,12.0,4.0
1.7278,1783622740.957568,CALIBRATION,UNKNOWN,,calibration,CALIBRATION,2,-0.0,-0.0,0.0,12.100000381469727,4.0,-0.0,-0.0,0.0,12.0,4.0
1.7438,1783622740.973556,CALIBRATION,UNKNOWN,,calibration,CALIBRATION,2,-0.0,-0.0,-0.002689999993890524,12.100000381469727,4.0,-0.0,-0.0,0.0,12.0,4.0
1.7598,1783622740.989531,CALIBRATION,UNKNOWN,,calibration,CALIBRATION,2,-0.0,-0.0,-0.002689999993890524,12.100000381469727,4.0,-0.0,-0.0,0.0,12.0,4.0
1.7759,1783622741.005579,CALIBRATION,UNKNOWN,,calibration,CALIBRATION,2,-0.0,-0.0,-0.002689999993890524,12.100000381469727,4.0,0.0015339808305725455,-0.0,0.0,12.0,4.0
1.7919,1783622741.021628,CALIBRATION,UNKNOWN,,calibration,CALIBRATION,2,-0.0015339808305725455,-0.0,-0.002689999993890524,12.100000381469727,4.0,-0.0,-0.0,0.0,12.0,4.0
